timestamp,plate_detected,matched_plate,owner,status,confidence,gate_action
2026-07-29 10:18:41,23228,,,DENIED,0.85,-
2026-08-12 18:11:27,280-9909,,,DENIED,0.72,-
2026-08-12 18:11:52,KZZO,,,DENIED,0.63,-
2026-08-12 18:12:13,2BK-4454,,,DENIED,0.77,-
2026-08-12 18:13:43,37000,,,DENIED,0.86,-
2026-08-12 18:14:20,23228,,,DENIED,0.85,-
2026-08-12 18:28:52,2BK-4454,2BK-4454,sreymom,AUTHORIZED,0.77,OPENED
2026-08-12 18:38:06,2BK-4454,2BK-4454,sreymom,AUTHORIZED,0.77,OPENED
2026-08-12 19:44:07,2BK-4454,2BK-4454,sreymom,AUTHORIZED,0.77,OPENED
2026-08-12 19:44:30,37000,,,DENIED,0.86,-
2026-08-18 18:35:05,37000,,,DENIED,0.86,-
2026-08-18 18:35:32,280-9909,,,DENIED,0.72,-
2026-08-18 18:38:03,24S7116,,,DENIED,0.83,-
2026-08-18 18:38:30,CE66,,,DENIED,0.85,-
2026-08-18 18:38:54,2A1-1028,,,DENIED,0.87,-
2026-08-18 18:40:35,37000,,,DENIED,0.86,-
2026-08-18 18:43:05,PHNOM,,,DENIED,0.84,-
2026-08-18 18:43:27,PHNOM,,,DENIED,0.84,-
2026-08-18 18:43:46,2AT-8351,,,DENIED,0.80,-
2026-08-18 18:45:28,UWS,,,DENIED,0.87,-
2026-08-18 18:46:09,24S7116,,,DENIED,0.83,-
2026-08-18 18:46:25,2AT-8351,,,DENIED,0.80,-
2026-08-24 18:10:06,2A1-1028,,,DENIED,0.87,-
