epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,836.221,1.27039,1.72924,1.49701,0.67141,0.62404,0.63129,0.36823,1.55972,1.87771,2.01704,0.000664336,0.000664336,0.000664336
2,1666.75,1.36404,1.32198,1.54691,0.75887,0.49432,0.59943,0.35761,1.52877,1.83973,1.77421,0.00130465,0.00130465,0.00130465
3,2496,1.34732,1.24536,1.53279,0.72226,0.67888,0.65468,0.39031,1.43289,1.27047,1.75091,0.00191856,0.00191856,0.00191856
4,3592.08,1.2988,1.15688,1.50418,0.86353,0.76194,0.78939,0.51135,1.30111,0.9584,1.61061,0.0018812,0.0018812,0.0018812
5,10197.1,1.25461,1.0836,1.45962,0.85783,0.68445,0.74828,0.47495,1.43002,1.09161,1.66119,0.0018416,0.0018416,0.0018416
6,25379.5,1.20584,1.01602,1.43156,0.87364,0.73822,0.77739,0.51922,1.25747,0.93876,1.57598,0.001802,0.001802,0.001802
7,31918.7,1.19433,0.97771,1.42057,0.85764,0.75697,0.79163,0.53614,1.27921,0.90331,1.58965,0.0017624,0.0017624,0.0017624
8,32876.4,1.17697,0.95766,1.41094,0.92418,0.74695,0.80684,0.55663,1.19786,0.84589,1.53378,0.0017228,0.0017228,0.0017228
9,34254.3,1.15032,0.92751,1.38904,0.88449,0.77836,0.80278,0.55722,1.20689,0.85105,1.51125,0.0016832,0.0016832,0.0016832
10,35420.4,1.13481,0.9044,1.38424,0.88218,0.77097,0.80502,0.56893,1.1963,0.84848,1.51052,0.0016436,0.0016436,0.0016436
11,36916.7,1.129,0.89124,1.36825,0.89344,0.77553,0.80627,0.58707,1.10489,0.79015,1.43823,0.001604,0.001604,0.001604
12,37750.5,1.10098,0.88053,1.35614,0.89833,0.7836,0.82255,0.59138,1.09028,0.72836,1.43394,0.0015644,0.0015644,0.0015644
13,41865.9,1.10362,0.8645,1.35993,0.89234,0.79559,0.82274,0.59477,1.13064,0.77184,1.44144,0.0015248,0.0015248,0.0015248
14,42964.4,1.08699,0.83701,1.34288,0.89556,0.7836,0.82352,0.60047,1.06991,0.7159,1.41806,0.0014852,0.0014852,0.0014852
15,44522,1.07244,0.82669,1.34151,0.8869,0.78004,0.79871,0.56601,1.15077,0.84041,1.50177,0.0014456,0.0014456,0.0014456
16,46773.5,1.07306,0.82895,1.33533,0.88113,0.79232,0.81103,0.57145,1.13651,0.77933,1.44415,0.001406,0.001406,0.001406
17,47604.6,1.06341,0.81523,1.32611,0.90293,0.79547,0.81865,0.57805,1.11441,0.74056,1.45545,0.0013664,0.0013664,0.0013664
18,48757.1,1.04347,0.79088,1.3085,0.8992,0.78709,0.82552,0.59085,1.10817,0.74407,1.43588,0.0013268,0.0013268,0.0013268
19,53317.4,1.0364,0.79132,1.30842,0.89036,0.75117,0.78947,0.56358,1.14346,0.83491,1.44789,0.0012872,0.0012872,0.0012872
20,55008.9,1.02085,0.76573,1.29425,0.90424,0.77453,0.82631,0.58585,1.11508,0.73833,1.43454,0.0012476,0.0012476,0.0012476
21,55861,1.02616,0.75685,1.2893,0.87374,0.78709,0.82443,0.60425,1.07489,0.74165,1.40814,0.001208,0.001208,0.001208
22,56693.2,1.01765,0.75159,1.28599,0.89039,0.79581,0.82911,0.61698,1.02222,0.69348,1.36254,0.0011684,0.0011684,0.0011684
23,57528.1,0.99845,0.7346,1.27451,0.88182,0.80105,0.82289,0.59931,1.08525,0.70138,1.39605,0.0011288,0.0011288,0.0011288
24,58362,0.99871,0.74704,1.27237,0.90157,0.78324,0.82404,0.58253,1.1549,0.73683,1.45135,0.0010892,0.0010892,0.0010892
25,59196.9,0.99346,0.74209,1.2774,0.88295,0.81152,0.84437,0.62894,1.0475,0.68168,1.37441,0.0010496,0.0010496,0.0010496
26,60027.9,0.98782,0.72133,1.2636,0.92186,0.7801,0.83573,0.61195,1.05559,0.68596,1.38372,0.00101,0.00101,0.00101
27,60861.4,0.97133,0.71123,1.26486,0.90918,0.76871,0.8175,0.59305,1.1045,0.73457,1.4573,0.0009704,0.0009704,0.0009704
28,61693.6,0.96536,0.71229,1.25102,0.90498,0.7993,0.84111,0.62633,1.02198,0.67022,1.37323,0.0009308,0.0009308,0.0009308
29,62631.3,0.95525,0.69618,1.24663,0.90741,0.79058,0.8337,0.62031,1.04268,0.70026,1.37848,0.0008912,0.0008912,0.0008912
30,63464.8,0.94535,0.68694,1.23836,0.89388,0.80279,0.82891,0.60395,1.05772,0.67824,1.40662,0.0008516,0.0008516,0.0008516
31,64296.2,0.94536,0.69419,1.23832,0.89595,0.79649,0.84235,0.62835,0.9919,0.64353,1.33718,0.000812,0.000812,0.000812
32,65128,0.94895,0.68864,1.2321,0.93087,0.78709,0.83095,0.6177,1.01061,0.65571,1.36489,0.0007724,0.0007724,0.0007724
